Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Source,EID
"Su S.-Y., Muo C.-H., Sung F.-C., Morisky D.E.",15726918000;24449660100;57218408826;7004466087;,Reduction of surgery rate in endometriosis patients who take Chinese medicine: A population-based retrospective cohort study,2014,Complementary Therapies in Medicine,22,4,,632,639,,12,10.1016/j.ctim.2014.06.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906789955&doi=10.1016%2fj.ctim.2014.06.010&partnerID=40&md5=4df6cc3522b3ab40d5bcfc887119ac7b,Chinese medicine; Endometriosis; Surgery,Article,Final,Scopus,2-s2.0-84906789955
"Dai Y.-J., Li Y.-Y., Zeng H.-M., Liang X.-A., Xie Z.-J., Zheng Z.-A., Pan Q.-H., Xing Y.-X.",55611406000;55611978800;55920723200;55611333700;55611597800;56290416400;56289855600;56289658100;,"Effect of Yinxieling decoction on PASI, TNF-α and IL-8 in patients with psoriasis vulgaris",2014,Asian Pacific Journal of Tropical Medicine,7,8,,668,670,,11,10.1016/S1995-7645(14)60113-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906333889&doi=10.1016%2fS1995-7645%2814%2960113-9&partnerID=40&md5=758bcdeccf5291b911c2f03798fd0d35,IL-8; Psoriasis vulgaris; Syndrome differentiation; TNF-α; Yinxieling decoction,Article,Final,Scopus,2-s2.0-84906333889
"Suphrom N., Srivilai J., Pumthong G., Khorana N., Waranuch N., Limpeanchob N., Ingkaninan K.",54388285100;56190343400;55185199200;6506905501;6508188553;24073612700;6602214736;,Stability studies of antiandrogenic compounds in Curcuma aeruginosa Roxb. extract,2014,Journal of Pharmacy and Pharmacology,66,9,,1282,1293,,7,10.1111/jphp.12216,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906317487&doi=10.1111%2fjphp.12216&partnerID=40&md5=6e28ab1d37123d0dd449e3319e10292c,antiandrogen; Curcuma aeruginosa; degradation; germacrone; stability,Article,Final,Scopus,2-s2.0-84906317487
"Angel G.R., Menon N., Vimala B., Nambisan B.",35239766200;7006880159;6507132787;6601921431;,Essential oil composition of eight starchy Curcuma species,2014,Industrial Crops and Products,60,,,233,238,,50,10.1016/j.indcrop.2014.06.028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903841168&doi=10.1016%2fj.indcrop.2014.06.028&partnerID=40&md5=8b5e54d5cb8df4c09f33e2919d6c4ae2,Chemical constituents; Classification; Curcuma species; Dendrogram; Essential oils; GC/MS,Article,Final,Scopus,2-s2.0-84903841168
"Yao C., Jiang J., Tu Y., Ye S., Du H., Zhang Y.",55420945800;55976451300;36881675600;7202088350;35770444800;55976871500;,"β-elemene reverses the drug resistance of A549/DDP lung cancer cells by activating intracellular redox system, decreasing mitochondrial membrane potential and P-glycoprotein expression, and inducing apoptosis",2014,Thoracic Cancer,5,4,,304,312,,21,10.1111/1759-7714.12093,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903757512&doi=10.1111%2f1759-7714.12093&partnerID=40&md5=fd338064abbbd3e3f4d1cf90419386ae,A549/DDP cell; Apoptosis; Drug resistance; Elemene; Lung neoplasms,Article,Final,Scopus,2-s2.0-84903757512
"Liu S.-J., Liao Z.-X., Liu C., Ji L.-J., Sun H.-F.",55796433800;7203032849;56937752300;8691480200;49662373200;,Two new sesquiterpenes from Artemisia sieversiana,2014,Fitoterapia,97,,,43,49,,17,10.1016/j.fitote.2014.05.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902159664&doi=10.1016%2fj.fitote.2014.05.007&partnerID=40&md5=dedcc085505840d5f9509b271428e556,Artemisia sieversiana; Compositae; Cytotoxic activity; Flavone; Lignan; Sesquiterpene,Article,Final,Scopus,2-s2.0-84902159664
"Lv D., Cao Y., Dong X., Chen X., Lou Z., Chai Y.",37119108000;57061178200;54391039000;46760930700;7101736306;7102457039;,Analysis and pharmacokinetic study of curdione in Rhizoma Curcumae by UPLC/QTOF/MS,2014,Biomedical Chromatography,28,6,,782,787,,12,10.1002/bmc.3118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901461683&doi=10.1002%2fbmc.3118&partnerID=40&md5=674e669273498c924a09f95b321818f0,Curdione; Pharmacokinetics; Qualitative; UPLC/QTOF/MS,Article,Final,Scopus,2-s2.0-84901461683
"Yao C.-C., Tu Y.-R., Jiang J., Ye S.-F., Du H.-X., Zhang Y.",55420945800;36881675600;55976451300;7202088350;35770444800;55976871500;,β-elemene reverses the drug resistance of lung cancer A549/DDP cells via the mitochondrial apoptosis pathway,2014,Oncology Reports,31,5,,2131,2138,,41,10.3892/or.2014.3083,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898657122&doi=10.3892%2for.2014.3083&partnerID=40&md5=87310a5aef2c10cfcb6cfd1248b5057b,A549/DDP cells; Apoptosis; Drug resistance; Glutathione; Lung neoplasms; Mitochondrial membrane potential; Reactive oxygen species; β-elemene,Article,Final,Scopus,2-s2.0-84898657122
"Ershadifar T., Minaiee B., Gharooni M., Isfahani M.M., Nasrabadi A.N., Nazem E., Gousheguir A.A., Saleh D.K.",56061865100;6508021978;56061798200;55189520700;7801328905;55189844900;47061468000;56061706000;,Heart palpitation from traditional and modern medicine perspectives,2014,Iranian Red Crescent Medical Journal,16,2,e14301,,,,4,10.5812/ircmj.14301,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895834783&doi=10.5812%2fircmj.14301&partnerID=40&md5=ef5574b06ecd927b99f11bf133af370b,Iran; Medicine; Palpitation; Temperament; Traditional,Article,Final,Scopus,2-s2.0-84895834783
"Wu K.-G., Zhao S.-E., Chai X.-H., Zhao X.-X.",8928908000;56005503200;36641660500;57212619175;,Antibacterial effect of plant essential oils against Pseudomonas aeruginosa,2013,Modern Food Science and Technology,29,12,,2830,2833+2815,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892515024&partnerID=40&md5=27e85fd0d16d40a31dffaa38044be2cd,Bacteriostasis; Gaseous phase; Plant essential oil; Pseudomonas aeruginosa,Article,Final,Scopus,2-s2.0-84892515024
"Zhou J., Ouedraogo M., Qu F., Duez P.",7405549870;24464251400;15030323000;6602127834;,Potential genotoxicity of traditional Chinese medicinal plants and phytochemicals: An overview,2013,Phytotherapy Research,27,12,,1745,1755,,35,10.1002/ptr.4942,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890560153&doi=10.1002%2fptr.4942&partnerID=40&md5=2c5031b72f0e170d41ffd669081de0e3,aristolochic acids; Chinese herbal medicine; genotoxicity; phytochemicals; pyrrolizidine alkaloids,Review,Final,Scopus,2-s2.0-84890560153
"Tripathi M., Chawla P., Upadhyay R., Trivedi S.",20435023000;55948176400;55512308200;57202981863;,Essential oils from family zingiberaceae for antimicrobial activity - a review,2013,International Journal of Pharma and Bio Sciences,4,4,,,P162,,10,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889069914&partnerID=40&md5=3c0b091ddaa6533ebd1eafb141b9db34,Antimicrobial; Aromatic plants; Essential oils; Zingiberceae,Review,Final,Scopus,2-s2.0-84889069914
"Li H.-J., Wang J.-M., Tian Y.-T., Bai M.-L., Zhang L.-X., Zhao X.-X.",57191260862;57200022029;55856900500;56108101000;55709090100;56883408300;,"[Effect of matrine on Fas, VEGF, and activities of telomerase of MCF-7 cells]",2013,"Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine / Zhongguo Zhong xi yi jie he xue hui, Zhongguo Zhong yi yan jiu yuan zhu ban",33,9,,1247,1251,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903716041&partnerID=40&md5=6cc735855291987f326ad6c52e792940,,Article,Final,Scopus,2-s2.0-84903716041
"Wang K., Qiu F.",57193226833;7103177331;,Curcuminoid metabolism and its contribution to the pharmacological effects,2013,Current Drug Metabolism,14,7,,791,806,,33,10.2174/13892002113149990102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887885213&doi=10.2174%2f13892002113149990102&partnerID=40&md5=914aad49db78b6cfb12ca3274553e6c3,Curcuminoid; Metabolism; Oral bioavailability; Pharmacological effects; Tetrahydrocurcumin,Article,Final,Scopus,2-s2.0-84887885213
"Sanghi D.K., Tiwle R.",55144145500;55863227800;,Herbal drugs an emerging tool for novel drug delivery systems,2013,Research Journal of Pharmacy and Technology,6,9,,962,966,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884558533&partnerID=40&md5=60a4addfe8cdd1cb11532c1bd9513865,Liposomes; Microspheres; Nanoparticles; Phytosomes; Soxhlet extractor,Review,Final,Scopus,2-s2.0-84884558533
"Do T.M.L., Truong A.V., Vo T.N., Pinnock T.G., Pratt L.M., Guillaume D., Nguyen K.P.P.",57189267277;55760088500;55318757000;55760189800;57213802086;7006973291;8510039100;,New derivatives from the aerial parts of Boerhaavia diffusa L. (Nyctaginaceae),2013,Phytochemistry Letters,6,4,,544,551,,4,10.1016/j.phytol.2013.07.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881153193&doi=10.1016%2fj.phytol.2013.07.001&partnerID=40&md5=be760ce652c618bf828c0799764313a2,Boerhaavia diffusa; Phenylpropanoid; Rotenoid; Sesquiterpene lactone,Article,Final,Scopus,2-s2.0-84881153193
"Lin G., Li Y., Chen S., Jiang H.",7401700267;24436639200;7410254922;24401492800;,Integrated Chinese-Western therapy versus western therapy alone on survival rate in patients with non-small-cell lung cancer at middle-late stage,2013,Journal of Traditional Chinese Medicine,33,4,,433,438,,10,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883041219&partnerID=40&md5=37ee03f777892d585fa48bcc7e3b4758,"Carcinoma, non-small-cell lung; Chemotherapy; Medicine, Chinese traditional; Prognosis; Syndrome differ treatment",Article,Final,Scopus,2-s2.0-84883041219
"Jong W.W., Tan P.J., Kamarulzaman F.A., Mejin M., Lim D., Ang I., Naming M., Yeo T.C., Ho A.S.H., Teo S.H., Lee H.B.",55826085200;55827649000;35726568900;55827150500;55828031000;55827825300;55826571300;55828073900;11139153800;57223625788;57131772100;,"Photodynamic activity of plant extracts from Sarawak, Borneo",2013,Chemistry and Biodiversity,10,8,,1475,1486,,12,10.1002/cbdv.201200303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882393786&doi=10.1002%2fcbdv.201200303&partnerID=40&md5=00c2ca0f0e3ba30b76bfec1ec8cdb9e3,Curcumins; Photodynamic therapy; Photosensitizers; Porphyrins,Article,Final,Scopus,2-s2.0-84882393786
"Skopiński P., Bałan B.J., Kocik J., Zdanowski R., Lewicki S., Niemcewicz M., Gawrychowski K., Skopińska-Rózewska E., Stankiewicz W.",6701474219;6602684486;23569609800;6503953906;36196722900;14025829100;6603293984;7004488949;6603870338;,Inhibitory effect of herbal remedy PERVIVO and anti-inflammatory drug sulindac on L-1 sarcoma tumor growth and tumor angiogenesis in Balb/c Mice,2013,Mediators of Inflammation,2013,,289789,,,,4,10.1155/2013/289789,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880177541&doi=10.1155%2f2013%2f289789&partnerID=40&md5=4917e4ba9adbb8de8ec889d73e869392,,Article,Final,Scopus,2-s2.0-84880177541
"Pandey M.M., Rastogi S., Rawat A.K.S.",8863920200;9436506400;7006208338;,Indian traditional ayurvedic system of medicine and nutritional supplementation,2013,Evidence-based Complementary and Alternative Medicine,2013,,376327,,,,146,10.1155/2013/376327,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880150324&doi=10.1155%2f2013%2f376327&partnerID=40&md5=8e398d9a1f604a7437f5491267f0361c,,Review,Final,Scopus,2-s2.0-84880150324
"Yasodamma N., Chaithra D., Alekhya C.",55359666500;55360048500;55359674800;,Antibacterial activity of Curcuma neilgherrensis Wt. a wild Curcuma species,2013,International Journal of Pharmacy and Pharmaceutical Sciences,5,3,,571,576,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880099171&partnerID=40&md5=448dbffe1238320c62fe06d394afb7d1,,Article,Final,Scopus,2-s2.0-84880099171
"Liu H.-Y., Ran X.-H., Gong N.-B., Ni W., Qin X.-J., Hou Y.-Y., Lü Y., Chen C.-X.",56076457200;36194299700;7003467273;35292927900;55347037000;57215292466;57190766110;35291533200;,Sesquiterpenoids from Chloranthus multistachys,2013,Phytochemistry,88,,,112,118,,18,10.1016/j.phytochem.2012.12.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874346088&doi=10.1016%2fj.phytochem.2012.12.002&partnerID=40&md5=e800623c36b05a48633d8aeb917e63d6,Chloramultiol G; Chloranthaceae; Chloranthus multistachys; Multistalactones A-F; Sesquiterpenoids,Article,Final,Scopus,2-s2.0-84874346088
"Jiang L., Deng L., Wu T.",35200949700;35113049200;8594313600;,Chinese medicinal herbs for influenza,2013,Cochrane Database of Systematic Reviews,2013,3,CD004559,,,,10,10.1002/14651858.CD004559.pub4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011413826&doi=10.1002%2f14651858.CD004559.pub4&partnerID=40&md5=3c50997b7ca226c5f2cbda693ed4d7e2,,Review,Final,Scopus,2-s2.0-85011413826
"Wang Q., Kuang H., Su Y., Sun Y., Feng J., Guo R., Chan K.",11438823800;56012016900;55705015300;55737759700;55565787700;57193309268;35422145500;,Naturally derived anti-inflammatory compounds from Chinese medicinal plants,2013,Journal of Ethnopharmacology,146,1,,9,39,,142,10.1016/j.jep.2012.12.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874104896&doi=10.1016%2fj.jep.2012.12.013&partnerID=40&md5=be6c7fd89c6680e56c8de68a985e17d0,Anti-inflammatory effect; Anti-inflammatory ingredient; Chinese Material Medica; Inflammation; Review,Review,Final,Scopus,2-s2.0-84874104896
"Li Q.Q., Lee R.X., Liang H., Zhong Y., Reed E.",7405859190;55537149200;36945612700;34972418500;8079775000;,Enhancement of cisplatin-induced apoptosis by β-elemene in resistant human ovarian cancer cells,2013,Medical Oncology,30,1,424,,,,44,10.1007/s12032-012-0424-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880578371&doi=10.1007%2fs12032-012-0424-4&partnerID=40&md5=45aa99883a9e817c3a6188eae953dcde,β-Elemene; Apoptosis; Chinese medicine; Cisplatin resistance; Ovarian cancer,Article,Final,Scopus,2-s2.0-84880578371
"Khewkhom N., Sangchote S., Sungsiri T.",56757588000;14827376500;55308047900;,Postharvest control of fruit rot of mangosteen by plant extracts from Zingiberaceae family,2013,Acta Horticulturae,973,,,119,124,,1,10.17660/ActaHortic.2013.973.14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878200539&doi=10.17660%2fActaHortic.2013.973.14&partnerID=40&md5=f9128595fce6f39b025218029761ed0e,Alpinia; Fruit rot; Galangal; Garcinia mangostana; Zingiber,Conference Paper,Final,Scopus,2-s2.0-84878200539
"Tao W., Xu X., Wang X., Li B., Wang Y., Li Y., Yang L.",55499083800;57196741866;56151319400;56124407900;11440987400;55888870800;8421266200;,Network pharmacology-based prediction of the active ingredients and potential targets of Chinese herbal Radix Curcumae formula for application to cardiovascular disease,2013,Journal of Ethnopharmacology,145,1,,1,10,,297,10.1016/j.jep.2012.09.051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871281143&doi=10.1016%2fj.jep.2012.09.051&partnerID=40&md5=7585491f86a22df8df8dc4633edc15ce,Cardiovascular and cerebrovascular diseases; Network pharmacology; Oral bioavailability; Radix Curcumae formula; Traditional Chinese medicine,Review,Final,Scopus,2-s2.0-84871281143
"Angel G.R., Vimala B., Nambisan B.",35239766200;6507132787;6601921431;,Isolation and evaluation of bioactive non starch polysaccharides from eight starchy Curcuma species,2013,Natural Products Journal,3,3,,204,211,,,10.2174/22103155113039990009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048965195&doi=10.2174%2f22103155113039990009&partnerID=40&md5=4646c6c3186dee670c6677b1cd643fcd,Anti-inflammatory activity; Antioxidant activity; Composition; Curcuma species; Non starch polysaccharides; Rhizomes,Article,Final,Scopus,2-s2.0-85048965195
"Morishita T., Yamaguchi H., Degi K., Shimizu A., Nakagawa H.",7201825586;23010892400;24471104600;35466552300;55184504800;,Comparison of curcumin contents and antioxidative activities among turmeric species cultivated in kanto area,2013,Japanese Journal of Crop Science,82,1,,56,62,,2,10.1626/jcs.82.56,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946194443&doi=10.1626%2fjcs.82.56&partnerID=40&md5=b78dbd15c247f2b7a9cccc17b15b7247,Antioxidative activity; Curcumin; Kanto area; Rhizome; Turmeric,Article,Final,Scopus,2-s2.0-84946194443
"Phukerd U., Soonwera M.",56028339100;37001319900;,Larvicidal and pupicidal activities of essential oils from Zingiberaceae plants against Aedes aegypti (Linn.) and Culex quinquefasciatus say mosquitoes,2013,Southeast Asian Journal of Tropical Medicine and Public Health,44,5,,761,771,,21,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893610044&partnerID=40&md5=14e31987ff34eb6f284ce09d7d0a36b3,Aedes aegypti; Culex quinquefasciatus; Herbal essential oil; Larvicide; Pupicide,Article,Final,Scopus,2-s2.0-84893610044
"Kar B., Nayak S., Joshi R.K.",40761362600;56224283600;56219092800;,"Molecular cloning, characterization and transcriptional variability study of resistance gene candidates from wild Curcuma spp. for resistance against Pythium aphanidermatum",2013,Plant OMICS,6,1,,86,94,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875325159&partnerID=40&md5=73b5d5c6d242b9e42b5c434da6e867be,Multiple sequence alignment; NBS-LRR; Resistance gene candidates (RGCs); Transcriptional variability analysis; Wild turmeric,Article,Final,Scopus,2-s2.0-84875325159
"Ahmed F., Islam F., Nahar N., Ahmed M., Rana A.H., Hasanur Rahman K.M., Hossain M.M., Rahmatullah M.",57220828239;57217312250;36500839100;57213795083;48561423800;57215739586;57221664954;6701489271;,Assessment of bioactivity of Bangladeshi medicinal plants using brine shrimp lethality assay,2012,Advances in Natural and Applied Sciences,6,8,,1325,1329,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874507834&partnerID=40&md5=f8d8da0daace620af6c7a99d54d71a2b,Bangladesh; Brine shrimp; Cytotoxicity; Medicinal plants,Article,Final,Scopus,2-s2.0-84874507834
"Ravipati A.S., Zhang L., Koyyalamudi S.R., Jeong S.C., Reddy N., Bartlett J., Smith P.T., Shanmugam K., Münch G., Wu M.J., Satyanarayanan M., Vysetti B.",54792222100;57196125669;55880430600;7402425079;7202174523;57214332543;55723651300;23098305900;7006228805;56091989500;14046162700;6701696284;,Antioxidant and anti-inflammatory activities of selected Chinese medicinal plants and their relation with antioxidant content,2012,BMC Complementary and Alternative Medicine,12,,1192,,,,156,10.1186/1472-6882-12-173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867021822&doi=10.1186%2f1472-6882-12-173&partnerID=40&md5=38f95bc21583e6e437c79b9b55300b9d,Anti-inflammatory properties; Antioxidant activities; Flavonoids; Phenolics; Trace metals,Article,Final,Scopus,2-s2.0-84867021822
"Park J.H., Jung J.W., Ahn Y.-J., Kwon H.W.",57189005389;36548273000;7202402888;36188245300;,Neuroprotective properties of phytochemicals against paraquat-induced oxidative stress and neurotoxicity in Drosophila melanogaster,2012,Pesticide Biochemistry and Physiology,104,2,,118,125,,24,10.1016/j.pestbp.2012.07.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867997457&doi=10.1016%2fj.pestbp.2012.07.006&partnerID=40&md5=37fffe24ce6288c165011a150017e044,Drosophila melanogaster; Neurotoxicity; Oxidative stress; Paraquat; Phytochemicals,Article,Final,Scopus,2-s2.0-84867997457
"Verma P.K., Bala M., Kumar N., Singh B.",7101776680;56730178400;57191748132;55480036800;,Therapeutic potential of natural products from terrestrial plants as TNF-α antagonist,2012,Current Topics in Medicinal Chemistry,12,13,,1422,1435,,8,10.2174/156802612801784425,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864535043&doi=10.2174%2f156802612801784425&partnerID=40&md5=c597eacfcb3eb1a04099c3704195c584,Anti-inflammatory; Natural products; Tumor necrosis factor-alpha,Review,Final,Scopus,2-s2.0-84864535043
"Urabe D., Yamaguchi H., Someya A., Inoue M.",6602698631;56391411000;55327942300;7406271007;,"Intermolecular radical reaction of O, Se-acetals generated via seleno-Pummerer rearrangement",2012,Organic Letters,14,15,,3842,3845,,11,10.1021/ol301482f,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864587804&doi=10.1021%2fol301482f&partnerID=40&md5=e7531a734a7cf5ab173eda0a7e3a5767,,Article,Final,Scopus,2-s2.0-84864587804
"Agarwal N., Majee C., Chakraborthy G.S.",57197973872;45861432600;6503940510;,Natural herbs as anticancer drugs,2012,International Journal of PharmTech Research,4,3,,1142,1153,,10,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870161666&partnerID=40&md5=b0c194d42a5c0c173366af2f515e8394,Anticancer agents; Bioactive compounds; Medicinal plants,Article,Final,Scopus,2-s2.0-84870161666
"Noreen F., Hussain N., Zaheer M., Rahman S.",57225293149;55234382900;57199668031;13005607400;,Antibacterial activities of some selected plant extracts of local herbal medicines in lahorepakistan,2012,Journal of Chinese Pharmaceutical Sciences,21,3,,278,282,,,10.5246/jcps.2012.03.037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865652320&doi=10.5246%2fjcps.2012.03.037&partnerID=40&md5=c90f76508797c7fe29e212c7e2362608,Atomic absorption spectrophotometer; Elemental composition; Minimum bactericidal concentration; Minimum inhibitory concentration,Article,Final,Scopus,2-s2.0-84865652320
"Seo S.-M., Park I.-K.",7202469838;57204072877;,Larvicidal activity of medicinal plant extracts and lignan identified in Phryma leptostachya var. asiatica roots against housefly (Musca domestica L.),2012,Parasitology Research,110,5,,1849,1853,,17,10.1007/s00436-011-2709-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863499922&doi=10.1007%2fs00436-011-2709-5&partnerID=40&md5=d7981631f75eea8ee56437b7cf257ca5,,Article,Final,Scopus,2-s2.0-84863499922
"Wang H., Fang Y., Wang Y., Wang Z., Zou Q., Shi Y., Chen J., Peng D.",55184703700;8243966200;56790146700;55185394300;35742423300;57199387302;55184978400;8600624500;,Inhibitory effect of curcumol on Jak2-STAT signal pathway molecules of fibroblast-like synoviocytes in patients with rheumatoid arthritis,2012,Evidence-based Complementary and Alternative Medicine,2012,,746426,,,,24,10.1155/2012/746426,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859743363&doi=10.1155%2f2012%2f746426&partnerID=40&md5=c7a81ae42059d78e0238985d36263a27,,Article,Final,Scopus,2-s2.0-84859743363
"Wang S.-C., Tang S.-W., Lam S.-H., Wang C.-C., Liu Y.-H., Lin H.-Y., Lee S.-S., Lin J.-Y.",57191713733;12797104600;15127422500;36242803200;36463700500;37083229600;7601402534;56129636600;,Aqueous extract of Paeonia suffruticosa inhibits migration and metastasis of renal cell carcinoma cells via suppressing VEGFR-3 pathway,2012,Evidence-based Complementary and Alternative Medicine,2012,,409823,,,,11,10.1155/2012/409823,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863266188&doi=10.1155%2f2012%2f409823&partnerID=40&md5=cbf4a789237aaaf09ce21fca2350e415,,Article,Final,Scopus,2-s2.0-84863266188
"Gokulshankar S., Ranjith M.S., Babu, Deepa M.A., Mohanty B.K., Prabhakaran G.",14022591100;6603280021;56055469100;6701776258;56649448800;56055426600;,Fairness in a natural way - novel polyherbal ingredients inhibiting melanin synthesis and transfer,2012,"Melanin: Biosynthesis, Functions and Health Effects",,,,227,241,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895258490&partnerID=40&md5=8f4d79f9a4848eacc1aa7f4e5e9d42a1,,Book Chapter,Final,Scopus,2-s2.0-84895258490
"Dong R., Chen X.Y., Wu T., Liu G.J.",56410441600;57206710803;8594313600;55634419300;,WITHDRAWN: Elemene for the treatment of lung cancer.,2012,Cochrane database of systematic reviews (Online),4,,,,,,9,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864070849&partnerID=40&md5=f993628ef11aea9cc599ad20c25ebc27,,Review,Final,Scopus,2-s2.0-84864070849
"Narayanaswamy N., Duraisamy A., Balakrishnan K.P.",37016547400;54882205000;57197012116;,Screening of some medicinal plants for their antityrosinase and antioxidant activities,2011,International Journal of PharmTech Research,3,2,,1107,1112,,16,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856250054&partnerID=40&md5=1b90845a81e8eaaf366455d557577d38,"2,2-diphenyl -1-picryl hydrazyl; Antioxidant; Asparagus racemosa; Holarrhena antidysentrica; I depigmenting; Mushroom tyrosinase; Pachygone ovata",Article,Final,Scopus,2-s2.0-84856250054
"Bamba Y., Yun Y.S., Kunugi A., Inoue H.",53881127200;57217441852;57192882117;7404988508;,Compounds isolated from Curcuma aromatica Salisb. inhibit human P450 enzymes,2011,Journal of Natural Medicines,65,3-4,,583,587,,38,10.1007/s11418-011-0507-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960451607&doi=10.1007%2fs11418-011-0507-0&partnerID=40&md5=780b08396e1e1755ad8685bb6dc0dfd8,Curcuma aromatica; Curcuminoid; Cytochrome P450 (CYP); Sesquiterpene; Zingiberaceae,Article,Final,Scopus,2-s2.0-79960451607
"Zhang X., Liu W., Logrieco A.F., Yang M., Ou-yang Z., Wang X., Guo Q.",35313259900;35885755200;7003551567;24340432000;35311748700;57206602113;57199783413;,Determination of zearalenone in traditional Chinese medicinal plants and related products by HPLC-FLD,2011,"Food Additives and Contaminants - Part A Chemistry, Analysis, Control, Exposure and Risk Assessment",28,7,,885,893,,27,10.1080/19440049.2011.563429,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960313177&doi=10.1080%2f19440049.2011.563429&partnerID=40&md5=f68754cb470657fde1941356b9800433,Affinity columns; HPLC; LC/MS; Mycotoxins; Plants; Quality assurance; Zearalenone,Article,Final,Scopus,2-s2.0-79960313177
"Sancheti S., Sancheti S., Lee S.-H., Lee J.-E., Seo S.-Y.",35183850900;26536649000;55716469300;42561491000;7202469829;,Screening of korean medicinal plant extracts for α-glucosidase inhibitory activities,2011,Iranian Journal of Pharmaceutical Research,10,2,,261,264,,20,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959458165&partnerID=40&md5=522bca713caadafb252523568cd5bd32,α-glucosidase inhibitor; Glycosidases; Korean plants; Screening,Article,Final,Scopus,2-s2.0-79959458165
"Cao P., Cai X., Lu W., Zhou F., Huo J.",7103379975;36571457900;24070846700;36572640300;36572094900;,"Growth inhibition and induction of apoptosis in SHG-44 glioma cells by chinese medicine formula ""pingliu Keli""",2011,Evidence-based Complementary and Alternative Medicine,2011,,958243,,,,27,10.1155/2011/958243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958131568&doi=10.1155%2f2011%2f958243&partnerID=40&md5=f677d1c125f101abacf5de0288397a5a,,Article,Final,Scopus,2-s2.0-77958131568
"Ruffoni B., Pistelli L., Bertoli A., Pistelli L.",6507892697;57201977483;7005055114;35218240100;,Plant cell cultures: Bioreactors for industrial production,2010,Advances in Experimental Medicine and Biology,698,,,203,221,,45,10.1007/978-1-4419-7347-4_15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956320024&doi=10.1007%2f978-1-4419-7347-4_15&partnerID=40&md5=7686372e4c2b08149415545367d4224c,,Article,Final,Scopus,2-s2.0-79956320024
